X,Y,Z,% of ICNIRP Public,
14.5,-0.9375,0.997316,0.0342503,
13.4,-3.85,0.997316,0.0137422,
13.4,-6.7625,0.997316,0.00555187,
14.5,-6.7625,0.997316,0.00657491,
13.4,-9.675,0.997316,0.00258359,
14.5,-12.5875,0.997316,0.00164725,
-3.1,-14.0437,0.997316,0.00123549,
-2.55,-15.5,0.997316,0.00117758,
-2.55,-14.0437,0.997316,0.00129314,
-2,31.1,0.997316,0.280567,
-2,28.1875,0.997316,0.339755,
-0.9,28.1875,0.997316,0.358738,
-3.1,28.1875,0.997316,0.320629,
0.2,28.1875,0.997316,0.374513,
6.8,31.1,0.997316,0.324619,
6.8,28.1875,0.997316,0.40443,
7.9,28.1875,0.997316,0.394032,
5.7,28.1875,0.997316,0.408286,
9,28.1875,0.997316,0.380681,
-3.1,-2.39375,0.997316,0.0188445,
-2.55,-3.85,0.997316,0.0105588,
-2.55,-2.39375,0.997316,0.0181439,
2.4,31.1,0.997316,0.3178,
2.4,28.1875,0.997316,0.394392,
3.5,28.1875,0.997316,0.406607,
1.3,28.1875,0.997316,0.388529,
0.2,31.1,0.997316,0.302182,
4.6,28.1875,0.997316,0.408363,
4.6,31.1,0.997316,0.326549,
1.85,19.45,0.997316,0.887317,
1.85,17.9938,0.997316,1.04088,
2.4,17.9938,0.997316,1.08208,
1.3,20.9062,0.997316,0.732637,
1.85,20.9062,0.997316,0.755438,
-3.1,20.9062,0.997316,0.506542,
-2.55,19.45,0.997316,0.597383,
-2.55,20.9062,0.997316,0.536756,
0.75,-2.39375,0.997316,0.00934653,
1.3,-2.39375,0.997316,0.00807472,
0.75,-0.9375,0.997316,0.0197116,
5.15,-2.39375,0.997316,0.0156208,
5.7,-2.39375,0.997316,0.0142802,
5.15,-0.9375,0.997316,0.0210722,
5.15,-3.85,0.997316,0.0116582,
4.6,-2.39375,0.997316,0.0153774,
6.25,-3.85,0.997316,0.00957324,
6.25,-2.39375,0.997316,0.0119454,
11.2,31.1,0.997316,0.290066,
11.2,28.1875,0.997316,0.350685,
12.3,28.1875,0.997316,0.334669,
10.1,28.1875,0.997316,0.36818,
9,31.1,0.997316,0.31077,
13.4,28.1875,0.997316,0.311713,
10.65,19.45,0.997316,0.73589,
10.65,17.9938,0.997316,0.833078,
11.2,17.9938,0.997316,0.788935,
10.1,20.9062,0.997316,0.672753,
10.65,20.9062,0.997316,0.641773,
5.7,20.9062,0.997316,0.818192,
6.25,19.45,0.997316,0.955986,
6.25,20.9062,0.997316,0.809723,
10.65,7.8,0.997316,1.21894,
10.65,6.34375,0.997316,0.87829,
11.2,6.34375,0.997316,0.722712,
10.65,-3.85,0.997316,0.00871031,
10.65,-5.30625,0.997316,0.00511059,
11.2,-5.30625,0.997316,0.00576976,
10.1,-2.39375,0.997316,0.0139443,
10.65,-2.39375,0.997316,0.0162301,
-3.1,-8.21875,0.997316,0.00296123,
-2.55,-9.675,0.997316,0.00204265,
-2.55,-8.21875,0.997316,0.00272484,
-0.35,31.1,0.997316,0.299693,
-0.35,29.6437,0.997316,0.331914,
0.2,29.6437,0.997316,0.335679,
-0.35,25.275,0.997316,0.455248,
-0.35,23.8188,0.997316,0.511422,
0.2,23.8188,0.997316,0.529482,
-3.1,15.0813,0.997316,0.71064,
-2.55,13.625,0.997316,0.820466,
-2.55,15.0813,0.997316,0.776702,
5.7,-8.21875,0.997316,0.00539439,
6.25,-9.675,0.997316,0.00418826,
6.25,-8.21875,0.997316,0.00504044,
7.9,-14.0437,0.997316,0.00215328,
8.45,-15.5,0.997316,0.00177772,
8.45,-14.0437,0.997316,0.00198359,
7.35,-14.0437,0.997316,0.00230218,
7.35,-12.5875,0.997316,0.00262946,
2.95,-8.21875,0.997316,0.00477289,
3.5,-8.21875,0.997316,0.00520549,
2.95,-6.7625,0.997316,0.00573983,
5.15,-8.21875,0.997316,0.00555991,
5.15,-6.7625,0.997316,0.00694942,
5.15,-9.675,0.997316,0.00453436,
4.6,-8.21875,0.997316,0.00557938,
8.45,31.1,0.997316,0.314419,
8.45,29.6437,0.997316,0.349609,
9,29.6437,0.997316,0.342496,
8.45,25.275,0.997316,0.49017,
8.45,23.8188,0.997316,0.560284,
9,23.8188,0.997316,0.551201,
8.45,1.975,0.997316,0.107137,
8.45,0.51875,0.997316,0.0412571,
9,0.51875,0.997316,0.0493041,
7.9,3.43125,0.997316,0.288787,
8.45,3.43125,0.997316,0.298761,
-3.1,3.43125,0.997316,0.147275,
-2.55,1.975,0.997316,0.0925732,
-2.55,3.43125,0.997316,0.161889,
-0.9,-2.39375,0.997316,0.0143652,
-0.35,-3.85,0.997316,0.00684841,
-0.35,-2.39375,0.997316,0.0125462,
-1.45,-2.39375,0.997316,0.0158796,
-1.45,-0.9375,0.997316,0.0295305,
-1.45,-8.21875,0.997316,0.00249976,
-0.9,-8.21875,0.997316,0.00251738,
-1.45,-6.7625,0.997316,0.00337505,
0.75,-8.21875,0.997316,0.00309309,
1.3,-8.21875,0.997316,0.00347244,
0.75,-6.7625,0.997316,0.00351005,
0.75,-9.675,0.997316,0.00276825,
0.2,-8.21875,0.997316,0.00280386,
1.85,-9.675,0.997316,0.00340748,
1.85,-8.21875,0.997316,0.00392864,
-1.45,3.43125,0.997316,0.196335,
-0.9,3.43125,0.997316,0.215951,
-1.45,4.8875,0.997316,0.366956,
0.75,3.43125,0.997316,0.274296,
1.3,3.43125,0.997316,0.279422,
0.75,4.8875,0.997316,0.683411,
0.75,1.975,0.997316,0.108722,
0.2,3.43125,0.997316,0.256747,
2.95,-3.85,0.997316,0.00818661,
2.95,-2.39375,0.997316,0.00946156,
2.4,-2.39375,0.997316,0.00805319,
2.95,1.975,0.997316,0.0537018,
2.95,3.43125,0.997316,0.265184,
2.4,3.43125,0.997316,0.268143,
3.5,0.51875,0.997316,0.0150516,
2.95,0.51875,0.997316,0.0171589,
4.05,31.1,0.997316,0.326174,
4.05,29.6437,0.997316,0.363593,
4.6,29.6437,0.997316,0.364057,
4.05,25.275,0.997316,0.523841,
4.05,23.8188,0.997316,0.601092,
4.6,23.8188,0.997316,0.602468,
3.5,20.9062,0.997316,0.800074,
4.05,19.45,0.997316,0.966029,
4.05,20.9062,0.997316,0.815223,
2.95,20.9062,0.997316,0.78836,
2.95,22.3625,0.997316,0.674005,
4.05,17.9938,0.997316,1.1597,
4.6,17.9938,0.997316,1.17107,
7.9,20.9062,0.997316,0.762738,
8.45,19.45,0.997316,0.868674,
8.45,20.9062,0.997316,0.747425,
7.35,20.9062,0.997316,0.784884,
7.35,22.3625,0.997316,0.673073,
-0.9,20.9062,0.997316,0.626328,
-0.35,19.45,0.997316,0.746932,
-0.35,20.9062,0.997316,0.661891,
-1.45,20.9062,0.997316,0.603702,
-1.45,22.3625,0.997316,0.532385,
-1.45,15.0813,0.997316,0.948332,
-0.9,15.0813,0.997316,1.03669,
-1.45,16.5375,0.997316,0.853351,
3.5,3.43125,0.997316,0.303445,
2.95,4.8875,0.997316,1.61442,
5.15,3.43125,0.997316,0.14065,
5.7,3.43125,0.997316,0.192468,
5.15,4.8875,0.997316,35.2594,
5.15,1.975,0.997316,0.0387531,
4.6,3.43125,0.997316,0.132871,
6.25,1.975,0.997316,0.0211823,
6.25,3.43125,0.997316,0.332536,
7.9,-2.39375,0.997316,0.00751767,
8.45,-3.85,0.997316,0.00546284,
8.45,-2.39375,0.997316,0.00818529,
7.35,-2.39375,0.997316,0.00795899,
7.35,-0.9375,0.997316,0.010664,
7.35,-8.21875,0.997316,0.00412228,
7.9,-8.21875,0.997316,0.00363138,
7.35,-6.7625,0.997316,0.00482563,
9.55,-8.21875,0.997316,0.00262909,
10.1,-8.21875,0.997316,0.00250577,
9.55,-6.7625,0.997316,0.00316122,
9.55,-9.675,0.997316,0.00229042,
9,-8.21875,0.997316,0.00286985,
10.65,-9.675,0.997316,0.00203246,
10.65,-8.21875,0.997316,0.00249248,
13.4,31.1,0.997316,0.265621,
14.5,28.1875,0.997316,0.293485,
12.85,25.275,0.997316,0.394119,
12.85,23.8188,0.997316,0.43141,
13.4,23.8188,0.997316,0.41061,
12.3,20.9062,0.997316,0.553991,
12.85,19.45,0.997316,0.583639,
12.85,20.9062,0.997316,0.530985,
11.75,20.9062,0.997316,0.58436,
11.75,22.3625,0.997316,0.526664,
12.85,17.9938,0.997316,0.640924,
13.4,17.9938,0.997316,0.596652,
12.85,13.625,0.997316,0.802479,
12.85,12.1687,0.997316,0.817503,
13.4,12.1687,0.997316,0.721256,
12.3,15.0813,0.997316,0.834826,
12.85,15.0813,0.997316,0.759806,
12.85,7.8,0.997316,0.594913,
12.85,6.34375,0.997316,0.432878,
13.4,6.34375,0.997316,0.372454,
12.85,1.975,0.997316,0.097882,
12.85,0.51875,0.997316,0.0573837,
13.4,0.51875,0.997316,0.0558055,
12.3,3.43125,0.997316,0.183109,
12.85,3.43125,0.997316,0.166614,
10.1,3.43125,0.997316,0.264464,
10.65,1.975,0.997316,0.117878,
10.65,3.43125,0.997316,0.243134,
12.3,-2.39375,0.997316,0.0204632,
12.85,-3.85,0.997316,0.0130634,
12.85,-2.39375,0.997316,0.0213954,
11.75,-2.39375,0.997316,0.0193634,
11.75,-0.9375,0.997316,0.0344373,
12.85,-5.30625,0.997316,0.00811148,
13.4,-5.30625,0.997316,0.00870499,
12.3,-8.21875,0.997316,0.00307503,
12.85,-9.675,0.997316,0.00237606,
12.85,-8.21875,0.997316,0.0033685,
-2,-14.0437,0.997316,0.00136442,
-2.55,-12.5875,0.997316,0.00144506,
-3.1,12.1687,0.997316,0.740684,
-2.55,10.7125,0.997316,0.821883,
-2.55,12.1687,0.997316,0.842873,
-2,12.1687,0.997316,0.964411,
6.8,-14.0437,0.997316,0.00244463,
7.35,-15.5,0.997316,0.00201884,
7.35,4.8875,0.997316,1.52948,
7.35,3.43125,0.997316,0.281332,
6.8,6.34375,0.997316,4.8327,
7.35,6.34375,0.997316,3.6161,
-3.1,0.51875,0.997316,0.0525057,
-2.55,-0.9375,0.997316,0.0312764,
-2.55,0.51875,0.997316,0.0528214,
-2,-2.39375,0.997316,0.0170569,
-1.45,-3.85,0.997316,0.00863316,
-2,0.51875,0.997316,0.0538782,
-1.45,0.51875,0.997316,0.0545849,
2.95,19.45,0.997316,0.933216,
2.95,17.9938,0.997316,1.11459,
3.5,17.9938,0.997316,1.13273,
2.4,20.9062,0.997316,0.775288,
1.85,22.3625,0.997316,0.647716,
2.95,16.5375,0.997316,1.34221,
4.05,16.5375,0.997316,1.41493,
1.3,23.8188,0.997316,0.555703,
1.85,23.8188,0.997316,0.567702,
-3.1,23.8188,0.997316,0.423261,
-2.55,22.3625,0.997316,0.488297,
-2.55,23.8188,0.997316,0.445074,
-2,20.9062,0.997316,0.569269,
-1.45,19.45,0.997316,0.671726,
-0.35,0.51875,0.997316,0.053672,
0.2,0.51875,0.997316,0.0510293,
-0.35,1.975,0.997316,0.110914,
0.75,0.51875,0.997316,0.0464343,
1.3,0.51875,0.997316,0.0405065,
-0.35,3.43125,0.997316,0.236482,
-0.35,4.8875,0.997316,0.495903,
4.05,0.51875,0.997316,0.0189573,
4.6,0.51875,0.997316,0.0254317,
4.05,1.975,0.997316,0.0181919,
4.05,-0.9375,0.997316,0.0173276,
4.05,-2.39375,0.997316,0.013888,
5.15,0.51875,0.997316,0.0271685,
5.7,0.51875,0.997316,0.0217901,
4.05,3.43125,0.997316,0.282408,
4.05,4.8875,0.997316,6.77136,
4.05,-3.85,0.997316,0.0108683,
3.5,-2.39375,0.997316,0.01165,
2.95,-0.9375,0.997316,0.0111556,
2.4,0.51875,0.997316,0.0240736,
6.25,-0.9375,0.997316,0.0142963,
6.25,0.51875,0.997316,0.0154519,
