X,Y,Z,% of ICNIRP Public,
-35.5,44.025,3.9,0.0420619,
-33.2188,41.1,3.9,0.0481119,
-33.2188,44.025,3.9,0.0471844,
1,-2.775,3.9,0.0233475,
3.28125,-5.7,3.9,0.0176164,
3.28125,-2.775,3.9,0.106466,
-1.28125,-2.775,3.9,0.0172701,
-1.28125,0.15,3.9,9.90435,
3.28125,41.1,3.9,0.135507,
3.28125,38.175,3.9,0.156421,
5.5625,38.175,3.9,0.151397,
1,44.025,3.9,0.121851,
3.28125,44.025,3.9,0.119131,
-35.5,20.625,3.9,0.0386231,
-33.2188,17.7,3.9,0.0419274,
-33.2188,20.625,3.9,0.046048,
-17.25,-2.775,3.9,0.0345669,
-14.9688,-5.7,3.9,0.0233155,
-14.9688,-2.775,3.9,0.0427864,
-19.5312,-2.775,3.9,0.0283477,
-19.5312,0.15,3.9,0.0439353,
-12.6875,64.5,3.9,0.0528829,
-12.6875,58.65,3.9,0.0633515,
-8.125,58.65,3.9,0.0665238,
-17.25,58.65,3.9,0.0583794,
-3.5625,58.65,3.9,0.0690358,
-17.25,70.35,3.9,0.0426428,
-12.6875,70.35,3.9,0.0449189,
-21.8125,70.35,3.9,0.0395862,
-8.125,70.35,3.9,0.0466323,
-35.5,70.35,3.9,0.0294099,
-30.9375,64.5,3.9,0.036315,
-30.9375,70.35,3.9,0.0328396,
-30.9375,58.65,3.9,0.0411505,
-26.375,58.65,3.9,0.0463887,
-35.5,58.65,3.9,0.0356621,
-21.8125,58.65,3.9,0.0522006,
-21.8125,64.5,3.9,0.0458331,
-26.375,70.35,3.9,0.0362284,
-17.25,44.025,3.9,0.0908038,
-14.9688,41.1,3.9,0.107513,
-14.9688,44.025,3.9,0.0978372,
-19.5312,44.025,3.9,0.0831536,
-19.5312,46.95,3.9,0.0768917,
-19.5312,20.625,3.9,0.147136,
-17.25,20.625,3.9,0.181709,
-19.5312,23.55,3.9,0.141214,
-1.28125,20.625,3.9,0.532072,
1,20.625,3.9,0.528158,
-1.28125,23.55,3.9,0.412779,
-1.28125,17.7,3.9,0.710616,
-3.5625,20.625,3.9,0.508498,
3.28125,17.7,3.9,0.646432,
3.28125,20.625,3.9,0.494339,
19.25,-2.775,3.9,0.0284207,
21.5312,-5.7,3.9,0.0161697,
21.5312,-2.775,3.9,0.0237596,
16.9688,-2.775,3.9,0.0345224,
16.9688,0.15,3.9,0.0558515,
23.8125,64.5,3.9,0.0424251,
23.8125,58.65,3.9,0.0478942,
28.375,58.65,3.9,0.0425036,
19.25,58.65,3.9,0.053823,
32.9375,58.65,3.9,0.0368382,
19.25,70.35,3.9,0.0404105,
23.8125,70.35,3.9,0.0369052,
14.6875,70.35,3.9,0.0431178,
28.375,70.35,3.9,0.0335977,
1,70.35,3.9,0.0482666,
5.5625,64.5,3.9,0.0556036,
5.5625,70.35,3.9,0.0470666,
-3.5625,70.35,3.9,0.0481893,
-3.5625,64.5,3.9,0.0572176,
1,58.65,3.9,0.0691953,
5.5625,58.65,3.9,0.066988,
10.125,58.65,3.9,0.0640874,
14.6875,58.65,3.9,0.0592915,
14.6875,64.5,3.9,0.0506816,
10.125,70.35,3.9,0.0456792,
19.25,44.025,3.9,0.081112,
21.5312,41.1,3.9,0.0795158,
21.5312,44.025,3.9,0.0740506,
16.9688,44.025,3.9,0.0873943,
16.9688,46.95,3.9,0.0804089,
21.5312,38.175,3.9,0.085381,
23.8125,38.175,3.9,0.0765503,
21.5312,17.7,3.9,0.111174,
21.5312,14.775,3.9,0.104692,
23.8125,14.775,3.9,0.0829513,
19.25,20.625,3.9,0.13794,
21.5312,20.625,3.9,0.112661,
-35.5,8.925,3.9,0.0239455,
-33.2188,6,3.9,0.0231568,
-33.2188,8.925,3.9,0.0283605,
-26.375,-2.775,3.9,0.0170689,
-24.0938,-5.7,3.9,0.0136799,
-24.0938,-2.775,3.9,0.0199578,
-28.6562,-2.775,3.9,0.0147574,
-28.6562,0.15,3.9,0.0199573,
-26.375,79.125,3.9,0.0307363,
