X,Y,Z,% of FCC OET 65 Public,
-16.7,12.1063,3.9,0.145617,
-15.7563,9.5375,3.9,0.154689,
-15.7563,12.1063,3.9,0.167835,
-14.8125,6.96875,3.9,0.153294,
-13.8688,4.4,3.9,0.137892,
-14.8125,12.1063,3.9,0.192278,
-13.8688,12.1063,3.9,0.220912,
1.23125,45.5,3.9,0.0856216,
1.23125,42.9313,3.9,0.0959887,
2.175,42.9313,3.9,0.095716,
1.23125,40.3625,3.9,0.108352,
1.23125,37.7937,3.9,0.123261,
3.11875,40.3625,3.9,0.105514,
4.0625,37.7937,3.9,0.119062,
1.23125,4.4,3.9,3.87925,
1.23125,1.83125,3.9,3.71736,
2.175,1.83125,3.9,2.44484,
1.23125,-0.737501,3.9,0.438831,
1.23125,-3.30625,3.9,0.016729,
3.11875,-0.737501,3.9,0.315326,
4.0625,-3.30625,3.9,0.0639369,
-1.6,12.1063,3.9,1.04954,
-0.65625,9.5375,3.9,1.6263,
-0.65625,12.1063,3.9,1.07481,
0.2875,6.96875,3.9,2.6197,
1.23125,6.96875,3.9,2.41567,
1.23125,9.5375,3.9,1.52394,
1.23125,12.1063,3.9,1.03193,
0.2875,12.1063,3.9,1.06751,
-16.7,-8.44375,3.9,0.00942345,
-15.7563,-11.0125,3.9,0.00595189,
-15.7563,-8.44375,3.9,0.00969617,
-14.8125,-13.5813,3.9,0.00347442,
-13.8688,-16.15,3.9,0.00191921,
-14.8125,-8.44375,3.9,0.00994039,
-13.8688,-8.44375,3.9,0.0101465,
-6.31875,45.5,3.9,0.082415,
-6.31875,42.9313,3.9,0.0922244,
-5.375,42.9313,3.9,0.0927218,
-6.31875,40.3625,3.9,0.103837,
-6.31875,37.7937,3.9,0.117707,
-4.43125,40.3625,3.9,0.105803,
-3.4875,37.7937,3.9,0.122452,
-6.31875,24.95,3.9,0.245619,
-6.31875,22.3813,3.9,0.295319,
-5.375,22.3813,3.9,0.309238,
-4.43125,19.8125,3.9,0.39648,
-3.4875,17.2437,3.9,0.521617,
-6.31875,19.8125,3.9,0.360366,
-6.31875,17.2437,3.9,0.445105,
-7.2625,22.3813,3.9,0.281453,
-9.15,12.1063,3.9,0.457444,
-8.20625,9.5375,3.9,0.592809,
-8.20625,12.1063,3.9,0.534582,
-10.0938,12.1063,3.9,0.394067,
-11.0375,12.1063,3.9,0.343501,
-7.2625,6.96875,3.9,0.782682,
-6.31875,4.4,3.9,0.95596,
-7.2625,12.1063,3.9,0.613102,
-6.31875,12.1063,3.9,0.686989,
-11.9813,12.1063,3.9,0.295532,
-11.9813,14.675,3.9,0.279989,
-11.9813,17.2437,3.9,0.254812,
-11.9813,19.8125,3.9,0.232787,
-11.9813,-8.44375,3.9,0.0101503,
-11.0375,-8.44375,3.9,0.00992773,
-11.9813,-5.875,3.9,0.0192422,
-10.0938,-8.44375,3.9,0.00958063,
-9.15,-8.44375,3.9,0.00892967,
-11.9813,-3.30625,3.9,0.0375496,
-11.9813,-0.737501,3.9,0.0727018,
-4.43125,-8.44375,3.9,0.00413934,
-3.4875,-8.44375,3.9,0.00467842,
-4.43125,-5.875,3.9,0.0109854,
-4.43125,-11.0125,3.9,0.00290145,
-4.43125,-13.5813,3.9,0.00234596,
-2.54375,-8.44375,3.9,0.0062662,
-1.6,-8.44375,3.9,0.00802937,
-4.43125,-3.30625,3.9,0.0538617,
-4.43125,-0.737501,3.9,0.288327,
-4.43125,-16.15,3.9,0.00191456,
-5.375,-13.5813,3.9,0.00195643,
-6.31875,-11.0125,3.9,0.0025613,
-7.2625,-8.44375,3.9,0.00691595,
-0.65625,-11.0125,3.9,0.00557187,
-0.65625,-8.44375,3.9,0.00891076,
