X,Y,Z,% of FCC OET 65 Public,
1.9625,-9.175,1.12,0.0629269,
-1.1625,-9.175,1.12,0.0253773,
-1.1625,-8.55,1.12,0.0279162,
1.9625,10.2,1.12,0.0475969,
1.9625,9.575,1.12,0.0554775,
3.525,9.575,1.12,0.0771619,
1.9625,0.2,1.12,2.19978,
1.9625,-0.425,1.12,2.02711,
3.525,-0.425,1.12,1.72474,
0.4,0.825,1.12,1.51523,
1.9625,0.825,1.12,1.63179,
-12.1,-9.175,1.12,0.000998451,
-10.5375,-9.8,1.12,0.00164478,
-10.5375,-9.175,1.12,0.00155928,
-13.6625,-9.175,1.12,0.000680353,
-13.6625,-8.55,1.12,0.000610989,
-10.5375,10.2,1.12,0.00140445,
-10.5375,9.575,1.12,0.00131202,
-8.975,9.575,1.12,0.002097,
-10.5375,5.2,1.12,0.000747161,
-10.5375,4.575,1.12,0.000783784,
-8.975,4.575,1.12,0.000992124,
-12.1,5.825,1.12,0.000582063,
-10.5375,5.825,1.12,0.000752182,
-12.1,0.825,1.12,0.00126188,
-10.5375,0.2,1.12,0.00164859,
-10.5375,0.825,1.12,0.00160735,
-13.6625,0.825,1.12,0.0010163,
-13.6625,1.45,1.12,0.000979291,
-13.6625,-4.175,1.12,0.000542372,
-12.1,-4.175,1.12,0.000622752,
-13.6625,-3.55,1.12,0.000606744,
-1.1625,-4.175,1.12,0.0499323,
0.4,-4.175,1.12,0.139042,
-1.1625,-3.55,1.12,0.0491438,
-1.1625,-4.8,1.12,0.0479932,
-2.725,-4.175,1.12,0.0198567,
1.9625,-4.8,1.12,0.245904,
1.9625,-4.175,1.12,0.317963,
12.9,-9.175,1.12,0.123103,
14.4625,-9.8,1.12,0.106058,
14.4625,-9.175,1.12,0.114691,
11.3375,-9.175,1.12,0.130693,
11.3375,-8.55,1.12,0.144027,
14.4625,10.2,1.12,0.100935,
14.4625,9.575,1.12,0.109084,
16.025,9.575,1.12,0.102913,
14.4625,5.2,1.12,0.184429,
14.4625,4.575,1.12,0.196722,
16.025,4.575,1.12,0.167989,
12.9,5.825,1.12,0.198483,
14.4625,5.825,1.12,0.174347,
0.4,5.825,1.12,0.085484,
1.9625,5.2,1.12,0.205726,
1.9625,5.825,1.12,0.163487,
12.9,0.825,1.12,0.297785,
14.4625,0.2,1.12,0.242075,
14.4625,0.825,1.12,0.240944,
11.3375,0.825,1.12,0.376224,
11.3375,1.45,1.12,0.366497,
14.4625,-0.425,1.12,0.241765,
16.025,-0.425,1.12,0.198989,
14.4625,-4.8,1.12,0.189188,
14.4625,-5.425,1.12,0.179173,
16.025,-5.425,1.12,0.153828,
12.9,-4.175,1.12,0.237869,
14.4625,-4.175,1.12,0.200092,
-18.35,-9.175,1.12,0.000271682,
-16.7875,-9.8,1.12,0.000376938,
-16.7875,-9.175,1.12,0.000347999,
-16.7875,10.2,1.12,0.00032871,
-16.7875,9.575,1.12,0.000315234,
-15.225,9.575,1.12,0.000408343,
0.4,-6.675,1.12,0.0719222,
1.9625,-7.3,1.12,0.103711,
1.9625,-6.675,1.12,0.125643,
6.65,-9.175,1.12,0.125606,
8.2125,-9.8,1.12,0.115804,
8.2125,-9.175,1.12,0.13263,
5.0875,-9.175,1.12,0.109919,
5.0875,-8.55,1.12,0.128808,
-7.4125,-6.675,1.12,0.00303732,
-5.85,-6.675,1.12,0.00566888,
-7.4125,-6.05,1.12,0.00276066,
-1.1625,-6.675,1.12,0.0373901,
-1.1625,-6.05,1.12,0.0410697,
-1.1625,-7.3,1.12,0.033932,
-2.725,-6.675,1.12,0.0192854,
8.2125,10.2,1.12,0.107437,
8.2125,9.575,1.12,0.122216,
9.775,9.575,1.12,0.124359,
8.2125,7.7,1.12,0.187011,
8.2125,7.075,1.12,0.217352,
9.775,7.075,1.12,0.204731,
6.65,8.325,1.12,0.155232,
8.2125,8.325,1.12,0.161242,
8.2125,0.2,1.12,0.666821,
8.2125,-0.425,1.12,0.663393,
9.775,-0.425,1.12,0.493445,
8.2125,-2.3,1.12,0.564219,
8.2125,-2.925,1.12,0.514396,
9.775,-2.925,1.12,0.409229,
6.65,-1.675,1.12,0.813863,
8.2125,-1.675,1.12,0.608497,
0.4,3.325,1.12,0.161155,
1.9625,2.7,1.12,0.597278,
1.9625,3.325,1.12,0.448628,
6.65,0.825,1.12,0.90163,
8.2125,0.825,1.12,0.651095,
5.0875,0.825,1.12,1.26502,
5.0875,1.45,1.12,1.15177,
-13.6625,-6.675,1.12,0.00047313,
-12.1,-6.675,1.12,0.000659811,
-13.6625,-6.05,1.12,0.000455612,
-13.6625,-7.3,1.12,0.000503937,
-15.225,-6.675,1.12,0.000371388,
-10.5375,-7.3,1.12,0.00116041,
-10.5375,-6.675,1.12,0.0010154,
-5.85,-9.175,1.12,0.00607082,
-4.2875,-9.8,1.12,0.00921639,
-4.2875,-9.175,1.12,0.00952231,
-7.4125,-9.175,1.12,0.00380936,
-7.4125,-8.55,1.12,0.0037496,
-13.6625,-1.675,1.12,0.000875275,
-12.1,-1.675,1.12,0.00105634,
-13.6625,-1.05,1.12,0.000955632,
-7.4125,-4.8,1.12,0.00197608,
-7.4125,-4.175,1.12,0.00164956,
-8.975,-4.175,1.12,0.00100163,
-7.4125,-2.3,1.12,0.00158452,
-7.4125,-1.675,1.12,0.00195807,
-8.975,-1.675,1.12,0.00159384,
-5.85,-2.925,1.12,0.00214406,
-7.4125,-2.925,1.12,0.00138935,
-4.2875,10.2,1.12,0.00842205,
-4.2875,9.575,1.12,0.00870433,
-2.725,9.575,1.12,0.013996,
-4.2875,7.7,1.12,0.00922895,
-4.2875,7.075,1.12,0.0093318,
-2.725,7.075,1.12,0.0175546,
-5.85,8.325,1.12,0.00532511,
-4.2875,8.325,1.12,0.00904479,
-12.1,8.325,1.12,0.000710079,
-10.5375,7.7,1.12,0.000993602,
-10.5375,8.325,1.12,0.00109208,
-5.85,5.825,1.12,0.00422541,
-4.2875,5.2,1.12,0.00831031,
-4.2875,5.825,1.12,0.00892203,
-7.4125,5.825,1.12,0.00207081,
-7.4125,6.45,1.12,0.00239553,
-4.2875,4.575,1.12,0.00745984,
-2.725,4.575,1.12,0.0183648,
-4.2875,2.7,1.12,0.0035914,
-4.2875,2.075,1.12,0.00303695,
-2.725,2.075,1.12,0.00684331,
-5.85,3.325,1.12,0.00212342,
-4.2875,3.325,1.12,0.00482555,
0.4,8.325,1.12,0.0469258,
1.9625,7.7,1.12,0.0903815,
1.9625,8.325,1.12,0.0762222,
6.65,5.825,1.12,0.30609,
8.2125,5.2,1.12,0.332287,
8.2125,5.825,1.12,0.287772,
5.0875,5.825,1.12,0.294285,
5.0875,6.45,1.12,0.239813,
5.0875,3.325,1.12,0.682519,
6.65,3.325,1.12,0.596089,
5.0875,3.95,1.12,0.553905,
11.3375,3.325,1.12,0.318341,
12.9,3.325,1.12,0.260242,
11.3375,3.95,1.12,0.296122,
11.3375,2.7,1.12,0.337021,
9.775,3.325,1.12,0.392391,
-13.6625,3.325,1.12,0.000754234,
-12.1,3.325,1.12,0.000879684,
-13.6625,3.95,1.12,0.000674559,
-13.6625,2.7,1.12,0.000844222,
-15.225,3.325,1.12,0.000659211,
-10.5375,2.7,1.12,0.00117828,
-10.5375,3.325,1.12,0.00100675,
-5.85,0.825,1.12,0.00378872,
-4.2875,0.2,1.12,0.00569267,
-4.2875,0.825,1.12,0.00483763,
-7.4125,0.825,1.12,0.00280725,
-7.4125,1.45,1.12,0.00244806,
-5.85,-1.675,1.12,0.00237944,
-7.4125,-1.05,1.12,0.00243148,
-1.1625,-1.675,1.12,0.0258548,
0.4,-1.675,1.12,0.368627,
-1.1625,-1.05,1.12,0.0246454,
-1.1625,-2.3,1.12,0.0337466,
-2.725,-1.675,1.12,0.00563241,
1.9625,-2.3,1.12,0.711937,
1.9625,-1.675,1.12,0.951664,
6.65,-4.175,1.12,0.473995,
8.2125,-4.8,1.12,0.357318,
8.2125,-4.175,1.12,0.407872,
5.0875,-4.175,1.12,0.510646,
5.0875,-3.55,1.12,0.633722,
5.0875,-6.675,1.12,0.221852,
6.65,-6.675,1.12,0.240259,
5.0875,-6.05,1.12,0.271809,
11.3375,-6.675,1.12,0.197637,
12.9,-6.675,1.12,0.176335,
11.3375,-6.05,1.12,0.218186,
11.3375,-7.3,1.12,0.17901,
9.775,-6.675,1.12,0.21983,
14.4625,-7.3,1.12,0.14516,
14.4625,-6.675,1.12,0.156935,
19.15,-9.175,1.12,0.088412,
20.7125,-9.8,1.12,0.0766929,
20.7125,-9.175,1.12,0.080851,
17.5875,-9.175,1.12,0.0965409,
17.5875,-8.55,1.12,0.102986,
20.7125,10.2,1.12,0.074442,
20.7125,9.575,1.12,0.0782321,
22.275,9.575,1.12,0.071972,
20.7125,7.7,1.12,0.0909668,
20.7125,7.075,1.12,0.0950332,
22.275,7.075,1.12,0.0853183,
19.15,8.325,1.12,0.0958498,
20.7125,8.325,1.12,0.0872781,
12.9,8.325,1.12,0.140389,
14.4625,7.7,1.12,0.141136,
14.4625,8.325,1.12,0.130474,
19.15,5.825,1.12,0.115775,
20.7125,5.2,1.12,0.106214,
20.7125,5.825,1.12,0.102585,
17.5875,5.825,1.12,0.132946,
17.5875,6.45,1.12,0.125486,
20.7125,4.575,1.12,0.109287,
22.275,4.575,1.12,0.0964024,
20.7125,2.7,1.12,0.116637,
20.7125,2.075,1.12,0.117966,
22.275,2.075,1.12,0.103196,
19.15,3.325,1.12,0.131499,
20.7125,3.325,1.12,0.114945,
14.4625,2.7,1.12,0.223809,
14.4625,3.325,1.12,0.215355,
19.15,0.825,1.12,0.141056,
20.7125,0.2,1.12,0.121336,
20.7125,0.825,1.12,0.121153,
17.5875,0.825,1.12,0.166188,
17.5875,1.45,1.12,0.164418,
20.7125,-0.425,1.12,0.121297,
22.275,-0.425,1.12,0.105255,
20.7125,-2.3,1.12,0.117177,
20.7125,-2.925,1.12,0.115845,
22.275,-2.925,1.12,0.101042,
19.15,-1.675,1.12,0.137236,
